"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-09-01,game 3,uk,false,26,57.15,2,28.58,0,0,1,26.64,1,14.64,2,40.95,0.5000,0.3575,4.20,0,16.20,2.00,57.16
2022-09-01,game 3,uk,false,27,64.95,1,64.95,0,0,0,0,0,0,1,41.94,0.0000,0.0000,23.01,0,23.01,,
2022-09-01,game 3,uk,false,28,147.51,4,36.88,0,0,1,27.93,3,48.87,6,162.78,0.5000,0.3002,16.20,-10.53,-15.27,2.00,73.76
2022-09-01,game 3,uk,false,29,72.33,3,24.11,1,15.72,1,15.06,0,0,1,13.59,0.0000,0.0000,27.96,0,58.74,,
2022-09-01,game 3,uk,false,30,148.08,6,24.68,2,27.69,3,76.47,3,46.59,4,59.88,0.7500,0.7781,30.63,0,88.20,1.33,32.91
2022-09-01,game 3,uk,false,31,98.79,2,49.40,0,0,0,0,0,0,2,71.04,0.0000,0.0000,33.09,-5.34,27.75,,
2022-09-01,game 3,uk,false,32,230.43,6,38.41,0,0,0,0,0,0,6,219.15,0.0000,0.0000,39.09,-27.81,11.28,,
2022-09-01,game 3,uk,false,33,49.50,3,16.50,2,33.45,0,0,0,0,1,13.98,0.0000,0.0000,2.07,0,35.52,,
2022-09-01,game 3,uk,false,34,71.88,2,35.94,1,36.45,0,0,0,0,1,12.18,0.0000,0.0000,23.25,0,59.70,,
2022-09-01,game 3,uk,false,36,0,0,,0,0,0,0,1,26.31,1,26.31,1.0000,1.0000,0,0,-26.31,1.00,
2022-09-01,game 3,uk,false,37,0,0,,0,0,0,0,1,39.48,1,39.48,1.0000,1.0000,0,0,-39.48,1.00,
2022-09-01,game 3,uk,false,38,71.40,2,35.70,0,0,0,0,0,0,2,87.84,0.0000,0.0000,3.39,-19.83,-16.44,,
2022-09-01,game 3,uk,false,39,14.88,1,14.88,1,14.88,0,0,0,0,,,,,0,0,14.88,,
2022-09-01,game 3,uk,false,41,0,0,,0,0,0,0,1,13.74,1,13.74,1.0000,1.0000,0,0,-13.74,1.00,
